disease,description,success
malignant urinary system neoplasm,"malignant urinary system neoplasm, a cancerous tumor arising from abnormal cell growth in the kidneys, ureters, bladder, or urethra that can invade nearby tissues and potentially spread to other parts of the body.",True
atypical coarctation of aorta,"atypical coarctation of aorta, a rare vascular anomaly characterized by segmental narrowing of atypical aortic regions—such as the ascending aorta, the descending thoracic aorta near the diaphragm, or the abdominal aorta—that results in upper body hypertension and associated clinical complications.",True
gonadal dysgenesis,"gonadal dysgenesis, a disorder of the reproductive system in which the ovaries or testes fail to develop properly due to genetic, hormonal, or environmental factors, often resulting in ambiguous genitalia, infertility, or hormonal deficiencies.",True
tinea barbae,"tinea barbae, a rare fungal infection primarily affecting the beard and mustache areas—often transmitted through contact with infected animals—that is characterized by red, ring-shaped, inflamed lesions potentially leading to crusting and hair loss and is typically treated with oral antifungal medications and, in some cases, steroids.",True
osteitis fibrosa,"osteitis fibrosa, a rare bone disorder caused by hyperparathyroidism that leads to weakened bones, cyst-like lesions, and skeletal deformities.",True
mucopolysaccharidosis,"mucopolysaccharidosis, a group of inherited metabolic disorders caused by enzyme deficiencies that impair the breakdown of glycosaminoglycans, resulting in their accumulation and leading to multi-organ dysfunction.",True
mild pre-eclampsia,"mild pre-eclampsia, a pregnancy-related condition marked by elevated blood pressure and protein in the urine that necessitates careful monitoring to prevent progression and further complications.",True
Brill-Zinsser disease,"Brill-Zinsser disease, a reactivation of epidemic typhus from dormant Rickettsia prowazekii bacteria, emerges years after the initial infection with generally milder symptoms similar to those of the original typhus.",True
acute leukemia (disease),"acute leukemia (disease), a rapidly progressing blood cancer characterized by the uncontrolled proliferation of immature blood cells in the bone marrow that impairs normal cell production and requires immediate aggressive treatment.",True
retinitis,"retinitis, an inflammation of the retina that can result from infections or genetic factors and may lead to vision loss.",True
squamous cell lung carcinoma,"squamous cell lung carcinoma, a type of non-small cell lung cancer that originates from the squamous cells lining the airways and is strongly associated with smoking and other environmental risk factors.",True
cryptorchidism (disease),"cryptorchidism (disease), a congenital condition in which one or both testicles fail to descend into the scrotum, typically diagnosed in infancy and potentially increasing the risk of infertility and testicular cancer if not treated.",True
acidosis disorder,"acidosis disorder, a condition in which excessive acid accumulation disrupts the body’s pH balance, potentially leading to organ damage or fatal complications due to factors like impaired oxygen delivery, kidney failure, and metabolic disturbances.",True
prostate adenocarcinoma,"prostate adenocarcinoma, the most common form of prostate cancer, originates in the glandular epithelial cells of the prostate and is typically diagnosed via a biopsy with evaluation through measures such as the Gleason score.",True
"combined pituitary hormone deficiencies, genetic form","combined pituitary hormone deficiencies, genetic form, is a rare genetic disorder caused by pathogenic mutations—most commonly in the PROP1 gene—that lead to deficient production of multiple pituitary hormones essential for normal growth, metabolism, and development.",True
sitosterolemia,"sitosterolemia, a rare autosomal recessive genetic disorder caused by mutations in the ABCG5 or ABCG8 genes that leads to excessive absorption and accumulation of plant sterols in the blood, resulting in xanthomas, atherosclerosis, and a hypercholesterolemia-like condition unresponsive to standard statin treatment.",True
iron deficiency anemia,"iron deficiency anemia, a common blood disorder caused by low iron levels that reduces hemoglobin production and results in symptoms such as fatigue, pale skin, and shortness of breath.",True
Ewing sarcoma,"Ewing sarcoma, a rare cancer that typically develops in the bones or soft tissues of children and young adults, often affecting the legs, pelvis, or chest wall and characterized by specific genetic changes.",True
hypophosphatasia,"hypophosphatasia, is a rare inherited metabolic bone disease characterized by impaired mineralization of bones and teeth due to defective alkaline phosphatase activity.",True
islet cell adenomatosis,"islet cell adenomatosis, an autosomal dominant disorder in which pancreatic islet cell hyperplasia can lead to hyperinsulinemic hypoglycemia from neuroendocrine tumors or noninsulin-dependent diabetes mellitus.",True
cholecystolithiasis,"cholecystolithiasis, the formation of hardened bile deposits (gallstones) in the gallbladder that can cause pain, inflammation, and blockage of bile flow.",True
visual pathway disease,"visual pathway disease, a disorder resulting from lesions along the visual pathway—from the retina and optic nerve through the chiasm and radiations to the visual cortex—that leads to characteristic visual field defects and impaired visual processing.",True
succinic semialdehyde dehydrogenase deficiency,"succinic semialdehyde dehydrogenase deficiency, a rare autosomal recessive neurometabolic disorder caused by mutations in the ALDH5A1 gene that impair the breakdown of GABA and lead to an accumulation of neurotoxic metabolites, manifests with developmental delays, intellectual disability, hypotonia, and seizures.",True
dipsogenic diabetes insipidus,"dipsogenic diabetes insipidus, a rare disorder caused by hypothalamic dysfunction that results in an unregulated thirst mechanism, leading to excessive fluid intake and frequent urination.",True
graft versus host disease,"graft versus host disease, a complication of allogeneic stem cell or bone marrow transplants in which donor immune cells attack the recipient's tissues, potentially causing systemic inflammation and damage to multiple organs.",True
Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, a group of inherited peripheral neuropathies that cause progressive muscle weakness and sensory loss.",True
Reynolds syndrome,"Reynolds syndrome, a rare autoimmune disorder characterized by the combination of primary biliary cholangitis and limited cutaneous systemic sclerosis, presents with symptoms such as fatigue, pruritus, and other systemic complications.",True
autonomic dysreflexia,"autonomic dysreflexia, a life-threatening condition primarily affecting individuals with spinal cord injuries at or above the T6 level that causes a sudden, exaggerated increase in blood pressure due to disrupted autonomic regulation in response to stimuli below the injury.",True
qualitative platelet defect,"qualitative platelet defect, a disorder in which platelets are present in normal numbers but have impaired function—such as defective adhesion, aggregation, or secretion—that leads to abnormal clotting and mucocutaneous bleeding.",True
acute myeloid leukemia with NPM1 somatic mutations,"acute myeloid leukemia with NPM1 somatic mutations, a distinct subtype of AML characterized by exon 12 mutations in the NPM1 gene that cause abnormal cytoplasmic localization of the nucleophosmin protein, present in about 30–35% of adult cases and associated with unique molecular, pathological, and clinical features.",True
learning disability,"learning disability, a condition that affects the brain's ability to process information and can lead to difficulties with language, reading, writing, math, and other academic skills.",True
subacute bacterial endocarditis,"subacute bacterial endocarditis, a slowly developing infection of the heart’s inner lining and valves typically caused by streptococcal bacteria that form vegetations and can lead to serious complications if untreated.",True
nocturnal enuresis,"nocturnal enuresis, a condition characterized by the involuntary leakage of urine during sleep beyond the age at which bladder control is typically established, affecting both children and adults and often managed through behavioral and medical interventions.",True
hepatosplenic T-cell lymphoma,"hepatosplenic T-cell lymphoma, a rare and highly aggressive peripheral T-cell lymphoma that predominantly affects young individuals and involves the liver, spleen, and bone marrow with rapid progression and poor response to conventional therapy.",True
acquired hemophilia,"acquired hemophilia, a rare autoimmune disorder in which autoantibodies target clotting factor VIII, leading to spontaneous and potentially life-threatening bleeding in individuals without a prior bleeding history.",True
maligant granulosa cell tumor of ovary,"maligant granulosa cell tumor of ovary, a rare low-grade malignant ovarian tumor that accounts for about 2–5% of ovarian cancers, is a sex cord-stromal neoplasm exhibiting either adult or juvenile histopathologic types and often presents with hormonal overproduction leading to relatively favorable outcomes when detected early.",True
myasthenia gravis,"myasthenia gravis, a chronic autoimmune disorder that interrupts nerve-muscle communication and causes fluctuating weakness and fatigue in voluntary muscles.",True
alcoholic psychosis,"alcoholic psychosis, a severe mental health condition marked by hallucinations and delusions that arises from heavy alcohol use, intoxication, or withdrawal.",True
pleural empyema (disease),"pleural empyema (disease), an infection characterized by the accumulation of pus in the pleural space typically resulting from bacterial pneumonia.",True
sulfhemoglobinemia,"sulfhemoglobinemia, a rare condition in which a sulfur atom irreversibly binds to hemoglobin, impairing its ability to transport oxygen and resulting in cyanosis.",True
arthritic joint disease,"arthritic joint disease, a term describing a broad group of over 100 disorders characterized by joint inflammation, pain, stiffness, and the progressive degeneration of joint tissues.",True
keloid formation,"keloid formation, is an abnormal healing process where excessive collagen production results in raised, firm scars that extend beyond the original injury.",True
ovarian hyperstimulation syndrome,"ovarian hyperstimulation syndrome, an iatrogenic complication of fertility treatments characterized by ovarian enlargement, fluid shifts, and abdominal discomfort that can range from mild symptoms to severe, life-threatening complications.",True
erectile dysfunction (disease),"erectile dysfunction (disease), a condition characterized by a man's inability to achieve or maintain an erection sufficient for satisfactory sexual activity, often linked to underlying physical or psychological health issues.",True
keratoacanthoma,"keratoacanthoma, a rapidly growing, dome-shaped skin tumor with a central keratin plug that may spontaneously regress but can mimic squamous cell carcinoma.",True
autosomal recessive inherited pseudoxanthoma elasticum,"autosomal recessive inherited pseudoxanthoma elasticum, a rare multisystem disorder caused by ABCC6 gene mutations that lead to abnormal mineralization and fragmentation of elastic fibers in the skin, eyes, and blood vessels.",True
cervical adenocarcinoma,"cervical adenocarcinoma, a less common type of cervical cancer that originates in the glandular cells of the endocervix and is often linked to HPV infection.",True
coronary vasospasm,"coronary vasospasm, a condition in which the coronary arteries suddenly constrict leading to reduced blood flow, chest pain, and potentially serious complications such as arrhythmias or heart attack.",True
tenosynovial giant cell tumor,"tenosynovial giant cell tumor, a rare, typically benign neoplasm arising from the synovial lining of joints, bursae, and tendon sheaths that can manifest in either localized or diffuse forms.",True
Pthirus pubis infestation,"Pthirus pubis infestation, a parasitic infection caused by crab lice that feed on human blood and primarily affects the pubic hair area—resulting in intense itching due to an allergic reaction to louse bites and transmitted mainly through close personal contact.",True
uterine corpus cancer,"uterine corpus cancer, a common gynecologic malignancy that primarily originates from the lining of the uterus as endometrial carcinoma, with a smaller proportion presenting as uterine sarcomas.",True
oculogastrointestinal muscular dystrophy,"oculogastrointestinal muscular dystrophy, an extremely rare autosomal recessive neuromuscular disease characterized by ocular abnormalities such as ptosis and diplopia, followed by gastrointestinal complications including chronic diarrhea, malnutrition, and intestinal pseudo-obstruction.",True
esophageal varices with bleeding,"esophageal varices with bleeding, a life-threatening complication where dilated veins in the esophagus rupture—typically due to liver cirrhosis and portal hypertension—resulting in massive hemorrhage that necessitates urgent endoscopic and medical intervention.",True
rickettsialpox,"rickettsialpox, a rare bacterial infection caused by Rickettsia akari and transmitted by mites, typically presents with an eschar at the bite site followed by fever and a generalized papulovesicular rash resembling chickenpox.",True
lipoid nephrosis,"lipoid nephrosis, a kidney disorder characterized by heavy proteinuria leading to nephrotic syndrome and minimal glomerular changes on light microscopy, often responding well to corticosteroid therapy.",True
congenital hemangioma,"congenital hemangioma, a fully formed vascular lesion present at birth resulting from abnormal blood vessel development that can rapidly involute, remain stable, or partially involute.",True
post-transplant lymphoproliferative disease,"post-transplant lymphoproliferative disease, a rare and potentially fatal complication following organ or stem cell transplantation characterized by uncontrolled proliferation of lymphoid cells often driven by Epstein-Barr virus under immunosuppression.",True
familial chylomicronemia syndrome,"familial chylomicronemia syndrome, a rare inherited disorder that disrupts the normal breakdown of dietary fats, leading to extremely high triglyceride levels and potentially life-threatening complications such as acute pancreatitis.",True
duodenal obstruction,"duodenal obstruction, a blockage in the duodenum—often due to congenital anomalies like annular pancreas or external compressive forces—that impairs the passage of food and fluids through the digestive tract.",True
autism spectrum disorder,"autism spectrum disorder, is a neurodevelopmental condition marked by challenges in social communication, interaction, and repetitive behaviors that typically emerge in early childhood.",True
congenital neutropenia-myelofibrosis-nephromegaly syndrome,"congenital neutropenia-myelofibrosis-nephromegaly syndrome, a rare, genetic primary immunodeficiency disorder characterized by severe congenital neutropenia, bone marrow fibrosis with extramedullary hematopoiesis (including nephromegaly), and neutrophil dysfunction unresponsive to granulocyte colony-stimulating factor, leading to life-threatening infections.",True
Sheehan syndrome,"Sheehan syndrome, a rare condition resulting from severe blood loss during childbirth that damages the pituitary gland and leads to multiple hormone deficiencies.",True
Miyoshi myopathy,"Miyoshi myopathy, a rare autosomal recessive muscular dystrophy primarily caused by dysferlin gene mutations, typically manifests in early adulthood with progressive distal muscle weakness and atrophy, most notably in the calf muscles.",True
paucibacillary leprosy,"paucibacillary leprosy, a form of leprosy characterized by one to five localized skin lesions with a low bacterial load and a positive cell-mediated immune response.",True
muscular atrophy,"muscular atrophy, a condition characterized by the wasting or loss of skeletal muscle mass due to factors such as inactivity, nerve damage, aging, malnutrition, or underlying diseases.",True
nasal cavity disease,"nasal cavity disease, a condition encompassing disorders affecting the nasal cavity—often involving structural abnormalities, infections, or growths that lead to symptoms such as nasal obstruction, chronic sinus infections, and diminished sense of smell.",True
esophageal varices,"esophageal varices, enlarged veins in the esophagus most often caused by liver cirrhosis and portal hypertension that can lead to life-threatening bleeding.",True
asthma,"asthma, a chronic lung disease that causes airway inflammation, narrowing, and excess mucus production, leading to wheezing, coughing, and difficulty breathing.",True
folliculitis,"folliculitis, a common inflammatory skin condition caused by bacterial, fungal, or viral infections that inflame hair follicles and result in pimple-like bumps or pustules on the skin.",True
Hirschsprung disease-ganglioneuroblastoma syndrome,"Hirschsprung disease-ganglioneuroblastoma syndrome, a rare genetic disorder caused by pathogenic mutations, is characterized by developmental defects during embryogenesis that result in total or partial colonic aganglionosis alongside multifocal neuroblastic tumors.",True
eosinophilia-myalgia syndrome,"eosinophilia-myalgia syndrome, a rare multisystem disorder characterized by severe muscle pain, skin rashes, and lung complications, often linked to elevated eosinophils and triggered by contaminated L-tryptophan supplements.",True
lung disease,"lung disease, a collective term for conditions that impair normal lung function—often due to smoking, infections, environmental factors, or genetics—and include disorders such as COPD, asthma, and lung cancer.",True
primary hyperoxaluria,"primary hyperoxaluria, a rare genetic metabolic disorder caused by liver enzyme deficiencies leading to excess oxalate production, recurrent kidney stones, and progressive kidney damage.",True
"influenza, severe, susceptibility to","influenza, severe, susceptibility to, a condition in which a combination of genetic factors, chronic health issues, and environmental exposures increases an individual's risk of developing serious influenza complications such as acute respiratory illness and hospitalization.",True
X-linked severe congenital neutropenia,"X-linked severe congenital neutropenia, an X-linked recessive immunodeficiency syndrome caused by mutations in the WAS gene, is characterized by severe congenital neutropenia, monocytopenia, and recurrent, life-threatening bacterial infections beginning in infancy.",True
lung cancer,"lung cancer, a malignant tumor originating in lung tissues from uncontrolled cell growth, primarily caused by smoking and environmental factors, and recognized as the leading cause of cancer-related deaths worldwide.",True
long QT syndrome,"long QT syndrome, a heart rhythm disorder that affects the heart's electrical system and can cause irregular, potentially life-threatening arrhythmias leading to fainting or sudden death.",True
adrenal gland pheochromocytoma,"adrenal gland pheochromocytoma, a rare neuroendocrine tumor arising from adrenal chromaffin cells that leads to excess catecholamine production and symptoms such as high blood pressure.",True
cor pulmonale,"cor pulmonale, a condition characterized by right ventricular enlargement and eventual failure due to pulmonary hypertension caused by chronic lung disorders.",True
obsolete neurogenic bladder (disease),"obsolete neurogenic bladder (disease), is a condition in which nerve damage or dysfunction impairs the communication between the brain, spinal cord, and bladder, leading to abnormal urinary storage and voiding.",True
CD4+/CD56+ hematodermic neoplasm,"CD4+/CD56+ hematodermic neoplasm, a rare and highly aggressive hematologic malignancy that initially presents with distinctive skin lesions and rapidly disseminates to lymph nodes, bone marrow, and peripheral blood, is characterized by a CD4+/CD56+ (often CD123-positive) immunophenotype indicative of plasmacytoid dendritic cell origin.",True
endometrial cancer,"endometrial cancer, a type of uterine cancer originating in the lining of the uterus that is often linked to high estrogen levels and treated through methods such as surgery, radiation, chemotherapy, or hormone therapy.",True
hepatitis B virus infection,"hepatitis B virus infection, a liver disease caused by the hepatitis B virus that can be acute or chronic and is spread through infected blood and body fluids.",True
Dravet syndrome,"Dravet syndrome, a rare genetic epileptic encephalopathy that begins in infancy with severe, difficult-to-control seizures and is associated with developmental delays, cognitive impairment, and behavioral challenges.",True
intestinal impaction,"intestinal impaction, a condition in which hardened stool becomes lodged in the colon or rectum due to chronic constipation, causing severe abdominal discomfort and difficulty passing stool.",True
macrocytic anemia (disease),"macrocytic anemia (disease), a blood disorder characterized by oversized red blood cells primarily due to deficiencies in vitamin B12 or folate, certain medications, or other underlying conditions that impair DNA synthesis and normal red blood cell production.",True
intestinal obstruction,"intestinal obstruction, a blockage that prevents food, fluids, and gas from passing through the digestive tract, potentially resulting in severe abdominal pain and life-threatening complications.",True
acromegaly,"acromegaly, a rare hormonal disorder caused by excess growth hormone production after puberty that leads to abnormal enlargement of bones, tissues, and organs.",True
tertiary lesion of yaws,"tertiary lesion of yaws, a late-stage complication of untreated yaws that typically develops 5 to 10 years after initial infection and is marked by severe, destructive lesions affecting the skin, bones, and joints.",True
blepharoconjunctivitis,"blepharoconjunctivitis, an ophthalmic condition characterized by inflammation of both the eyelids and the conjunctiva, leading to redness, irritation, crusting, and discomfort.",True
black piedra,"black piedra, a superficial fungal infection caused by Piedraia hortae that forms small, hard black nodules on hair shafts, primarily occurring in warm, humid tropical regions.",True
macular retinal edema,"macular retinal edema, a condition characterized by fluid leakage into the central part of the retina (the macula), leading to swelling and impaired sharp, central vision.",True
toxic shock syndrome,"toxic shock syndrome, a rare but life-threatening condition caused by toxins released from staph or strep bacteria that can lead to rapid, multi-organ damage.",True
peptic ulcer disease,"peptic ulcer disease, a condition characterized by open sores in the stomach or duodenum typically caused by Helicobacter pylori infection or NSAID use.",True
injury,"injury, a physical harm or damage to living tissue caused by external factors such as accidents, trauma, or environmental extremes.",True
stone in bladder diverticulum,"stone in bladder diverticulum, a condition in which minerals in stagnant urine crystallize within a bladder diverticulum, potentially causing pain, hematuria, and recurrent infections.",True
Burkitt lymphoma,"Burkitt lymphoma, a rare and aggressive B-cell non-Hodgkin lymphoma characterized by rapid growth, a distinctive starry-sky pattern on pathology, and frequent association with Epstein-Barr virus.",True
exposure keratitis,"exposure keratitis, a condition marked by corneal damage and inflammation from inadequate eyelid closure that leads to dryness, irritation, and potential ulceration and vision loss.",True
frozen shoulder,"frozen shoulder, a condition characterized by gradually worsening shoulder pain, stiffness, and reduced motion that typically resolves within one to three years.",True
invasive non-typhoidal salmonellosis,"invasive non-typhoidal salmonellosis, a severe, life-threatening extraintestinal infection caused by non-typhoidal Salmonella serotypes that predominantly affects immunocompromised and vulnerable individuals, leading to systemic complications and high mortality.",True
cystitis,"cystitis, an inflammation of the bladder most often caused by a bacterial infection that leads to symptoms like frequent urination and discomfort and is typically treated with antibiotics.",True
variola major infectious disease,"variola major infectious disease, a severe form of smallpox caused by the variola virus that led to high fever, a progressive skin rash, and a mortality rate exceeding 30%.",True
ventricular tachycardia,"ventricular tachycardia, a fast and abnormal heart rhythm originating in the heart's ventricles that can be life-threatening.",True
inherited lipid metabolism disorder,"inherited lipid metabolism disorder, a genetic condition caused by enzyme deficiencies that impede the normal breakdown and utilization of lipids, leading to their abnormal accumulation in tissues.",True
gastric cancer,"gastric cancer, a malignant tumor that originates in the inner lining of the stomach and gradually invades its walls, often leading to symptoms like unexplained weight loss and stomach pain.",True
appendicitis,"appendicitis, an inflammation of the appendix causing lower right abdominal pain, nausea, and fever that often requires urgent surgical removal to prevent serious complications.",True
intermittent vascular claudication,"intermittent vascular claudication, a manifestation of peripheral arterial disease characterized by exercise-induced leg muscle pain, cramping, or fatigue that is relieved by brief periods of rest.",True
gestational trophoblastic neoplasm,"gestational trophoblastic neoplasm, a rare malignant tumor arising from the abnormal proliferation of trophoblastic cells during or after pregnancy.",True
systemic sclerosis,"systemic sclerosis, a rare autoimmune disorder characterized by widespread fibrosis and vascular damage affecting the skin and internal organs.",True
endomyometritis,"endomyometritis, inflammation of the uterine lining and muscle often resulting from infection following childbirth or abortion.",True
neoplasm of mature B-cells,"neoplasm of mature B-cells, is a malignant disorder originating from mature B-lymphocytes or plasma cells that encompasses a heterogeneous spectrum of non-Hodgkin lymphomas and leukemias with variable clinical behavior and treatment strategies.",True
autosomal recessive distal myopathy,"autosomal recessive distal myopathy, is a rare inherited muscular disorder that typically presents in early adulthood with progressive weakness and atrophy of the distal lower limb muscles, often accompanied by rimmed vacuoles on muscle biopsy.",True
staphylococcal infection,"staphylococcal infection, a bacterial disease caused by Staphylococcus species that can affect the skin, lungs, heart, and other organs, leading to conditions ranging from minor skin infections to serious systemic illnesses.",True
familial hyperprolactinemia,"familial hyperprolactinemia, a rare genetic endocrine disorder characterized by persistently elevated prolactin levels in multiple family members—absent triggers like gestation, drug intake, or pituitary tumors—that results in symptoms typical of hyperprolactinemia such as menstrual irregularities and galactorrhea.",True
scabies,"scabies, a contagious skin infestation caused by tiny mites that burrow into the skin and lay eggs, leading to intense itching and rash.",True
congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,"congenital osteogenesis imperfecta-microcephaly-cataracts syndrome, a rare genetic disorder characterized by osteogenesis imperfecta with multiple prenatal bone fractures, joint laxity, severe microcephaly, and bilateral cataracts.",True
thyroid cancer,"thyroid cancer, a disease characterized by abnormal cell growth in the thyroid gland that can disrupt hormone production and potentially spread, with several variants that determine its treatment and prognosis.",True
Waardenburg syndrome,"Waardenburg syndrome, a group of rare genetic disorders that cause congenital hearing loss and pigmentary abnormalities affecting the hair, eyes, and skin.",True
familial visceral myopathy,"familial visceral myopathy, a rare genetic disorder characterized by myopathic degeneration of the smooth muscle in the gastrointestinal and urinary tracts leading to chronic intestinal pseudo-obstruction and variable symptoms such as abdominal distension, pain, vomiting, and altered bowel and bladder function.",True
epithelioid hemangioendothelioma,"epithelioid hemangioendothelioma, a rare vascular tumor originating in blood vessel lining cells that can develop in various organs.",True
partial epilepsy,"partial epilepsy, a neurological condition marked by focal seizures originating in a specific brain region that may affect or spare a person’s level of awareness.",True
acute neonatal citrullinemia type I,"acute neonatal citrullinemia type I, a severe autosomal recessive urea cycle disorder manifesting within days of birth with hyperammonemia, progressive lethargy, poor feeding, vomiting, seizures, and potential increased intracranial pressure.",True
gastroesophageal reflux disease,"gastroesophageal reflux disease, a chronic condition in which stomach acid persistently flows back into the esophagus causing symptoms such as heartburn, chest pain, and esophageal irritation.",True
gingivitis,"gingivitis, an inflammation of the gums caused by bacterial plaque buildup that leads to redness, swelling, and bleeding.",True
thallium poisoning,"thallium poisoning, a severe condition caused by exposure to highly toxic thallium compounds that disrupt intracellular potassium processes and result in gastrointestinal, neurologic, and dermatologic symptoms through ingestion, inhalation, or skin contact.",True
scrub typhus,"scrub typhus, a mite-borne infectious disease caused by Orientia tsutsugamushi and transmitted by chigger bites, typically presenting with fever, headache, rash, and potential severe complications.",True
bronchiectasis,"bronchiectasis, a chronic lung disease characterized by permanent airway dilation that leads to mucus accumulation and recurrent infections.",True
urolithiasis,"urolithiasis, a condition characterized by the formation of hard mineral and salt stones in the urinary tract—primarily in the kidneys and ureters—that can cause pain, urinary obstruction, and may require medical or surgical treatment.",True
sinoatrial block,"sinoatrial block, a disorder in which electrical impulses originating from the sinoatrial node are delayed or blocked from reaching the atria, resulting in disrupted heart rhythms.",True
Yersinia infectious disease,"Yersinia infectious disease, also known as yersiniosis, is a bacterial gastrointestinal infection primarily caused by Yersinia enterocolitica or Yersinia pseudotuberculosis, often acquired by consuming contaminated or undercooked food.",True
acute contagious conjunctivitis,"acute contagious conjunctivitis, an acute eye infection that is highly contagious—typically caused by viruses like adenovirus or bacteria—and characterized by red, irritated eyes with watery or purulent discharge that spreads easily through contact with contaminated hands or surfaces.",True
newborn respiratory distress syndrome,"newborn respiratory distress syndrome, is a breathing disorder primarily seen in premature infants due to underdeveloped lungs and insufficient surfactant production that causes respiratory distress shortly after birth.",True
infectious disease,"infectious disease, a medical condition caused by pathogenic microorganisms such as viruses, bacteria, fungi, parasites, and prions that can spread from person to person and is managed through prevention measures like vaccination, hygiene, and appropriate treatments.",True
hepatic veno-occlusive disease-immunodeficiency syndrome,"hepatic veno-occlusive disease-immunodeficiency syndrome, is a rare autosomal recessive disorder that typically presents within the first six months of life with severe combined immunodeficiency and progressive liver injury due to occlusion of small hepatic veins leading to fibrosis and hepatomegaly.",True
fungal infectious disease,"fungal infectious disease, a condition caused by pathogenic fungi that can affect the skin, nails, lungs, and other organs, ranging from mild irritation to life-threatening systemic infections, especially in individuals with weakened immune systems.",True
double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis,"double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis, a congenital heart defect where both great arteries predominantly arise from the right ventricle through a ventricular septal defect positioned beneath one or both arterial outlets, accompanied by narrowing of the pulmonary outflow tract.",True
granulomatous slack skin disease,"granulomatous slack skin disease, a rare and indolent variant of mycosis fungoides characterized by lax, pendulous skin folds due to granulomatous T-cell infiltrates and elastic fiber loss, often seen in middle-aged adults and associated with other lymphoproliferative disorders.",True
autosomal dominant limb-girdle muscular dystrophy type 1D (DNAJB6),"autosomal dominant limb-girdle muscular dystrophy type 1D (DNAJB6), is an adult-onset, slowly progressive muscle disorder caused by mutations in the DNAJB6 gene that primarily leads to proximal pelvic muscle weakness with minimal shoulder involvement and is characterized by abnormal protein aggregates in muscle fibers without significant cardiac or respiratory compromise.",True
thrombocytosis disease,"thrombocytosis disease, a condition marked by an abnormally high platelet count in the blood that can result from reactive processes to underlying conditions or from primary bone marrow disorders such as essential thrombocythemia, potentially leading to complications like clot formation and bleeding.",True
intellectual disability,"intellectual disability, a neurodevelopmental condition characterized by significant limitations in intellectual functioning and adaptive behavior that typically emerge before age 18 and affect daily living skills.",True
pulmonary edema,"pulmonary edema, a condition marked by the abnormal accumulation of fluid in the lungs that interferes with oxygen exchange and can lead to severe, life-threatening respiratory distress.",True
phlebitis,"phlebitis, an inflammation of a vein often triggered by a blood clot, trauma, or infection that can cause pain, swelling, and redness.",True
severe pre-eclampsia,"severe pre-eclampsia, a life-threatening pregnancy disorder characterized by extremely high blood pressure and signs of organ dysfunction that can quickly jeopardize the health of both mother and baby and may require prompt delivery.",True
juvenile Huntington disease,"juvenile Huntington disease, a rare, early-onset form of Huntington’s disease that begins in childhood or adolescence and is marked by progressive motor, cognitive, and behavioral decline due to a genetic mutation in the huntingtin gene.",True
Down syndrome,"Down syndrome, a genetic disorder caused by an extra copy of chromosome 21 resulting in developmental delays, intellectual disability, and distinct physical features.",True
rhinitis,"rhinitis, an inflammation of the nasal lining that typically results in symptoms such as congestion, sneezing, runny nose, and itching due to various triggers including allergens, irritants, and infections.",True
otitis externa,"otitis externa, a common inflammatory condition of the external ear canal typically caused by bacterial or fungal infection or irritation and often linked to water exposure.",True
hepatorenal syndrome,"hepatorenal syndrome, is a life-threatening complication of advanced liver disease that results in rapid, functional kidney failure without intrinsic kidney damage.",True
cardiac tamponade,"cardiac tamponade, a life-threatening emergency where fluid or blood accumulates in the pericardial sac, compressing the heart and hindering its ability to fill and pump blood effectively.",True
nephrogenic diabetes insipidus,"nephrogenic diabetes insipidus, a kidney disorder in which the kidneys are unresponsive to antidiuretic hormone, leading to excessive urination and dehydration.",True
infective endocarditis,"infective endocarditis, a serious infection of the heart lining and valves typically caused by bacteria or fungi that can lead to severe complications if not promptly treated.",True
anemia of prematurity,"anemia of prematurity, a condition in preterm infants characterized by normocytic, hyporegenerative anemia resulting from low erythropoietin levels, incomplete iron transfer, and blood sampling losses.",True
X-linked adrenoleukodystrophy,"X-linked adrenoleukodystrophy, a rare genetic disorder caused by impaired peroxisomal fatty acid oxidation leading to the accumulation of very long-chain fatty acids that progressively damage the nervous system’s white matter and adrenal cortex.",True
balanitis,"balanitis, an inflammation of the glans penis (and sometimes the foreskin) commonly caused by infections, poor hygiene, or reactive arthritis that results in irritation, swelling, and sometimes lesions.",True
non-syndromic male infertility due to sperm motility disorder,"non-syndromic male infertility due to sperm motility disorder, is a rare genetic condition characterized by defects in the sperm’s cilia/flagella that result in absent or reduced motility in ejaculate.",True
candidemia,"candidemia, a serious bloodstream infection caused by Candida species that can lead to invasive disease with high morbidity and mortality.",True
neurotrophic keratopathy,"neurotrophic keratopathy, a degenerative corneal condition caused by impaired nerve function leading to reduced sensation, epithelial breakdown, and potential ulceration and perforation.",True
obsolete left bundle branch block,"obsolete left bundle branch block, is a cardiac conduction abnormality marked by a delay or blockage in the left bundle branch that alters the normal electrical activation of the left ventricle, often indicating underlying heart disease.",True
cervicofacial actinomycosis,"cervicofacial actinomycosis, is a rare, chronic, and invasive bacterial infection of the head and neck caused by Actinomyces species, typically following dental or orofacial trauma and characterized by abscess formation, tissue fibrosis, and draining sinus tracts.",True
epidermodysplasia verruciformis,"epidermodysplasia verruciformis, a rare genetic skin disorder marked by wart-like lesions from persistent HPV infections and a heightened risk of developing skin cancer.",True
