disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Polymyositis,2,Polymyalgia Rheumatica,Polymicrogyria,Pyomyositis,Myositis Ossificans,Petrositis,D011111,D065706,D052880,D009221,D059270
Acute Myocardial Infarction,2,Acute Coronary Syndrome,Anterior Wall Myocardial Infarction,Acute Disease,Acute Chest Syndrome,ST Elevation Myocardial Infarction,D054058,D056988,D000208,D056586,D000072657
Microinvasive Squamous Cell Carcinoma,2,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Squamous Intraepithelial Lesions of the Cervix,"Carcinoma, Non-Small-Cell Lung",Nasopharyngeal Carcinoma,D000077277,D000077195,D065310,D002289,D000077274
Preterm Labor,2,Premature Birth,Labor Pain,Retinopathy of Prematurity,Postpartum Hemorrhage,Abruptio Placentae,D047928,D048949,D012178,D006473,D000037
Pulmonary Sarcoidosis,2,"Sarcoidosis, Pulmonary",Pulmonary Fibrosis,Pulmonary Emphysema,Pulmonary Heart Disease,Pulmonary Eosinophilia,D017565,D011658,D011656,D011660,D011657
Emphysema,2,Pulmonary Emphysema,Mediastinal Emphysema,Emphysematous Cholecystitis,Pneumothorax,Sarcopenia,D011656,D008478,D041882,D011030,D055948
Vulvar Intraepithelial Neoplasia,2,Vulvar Neoplasms,Prostatic Intraepithelial Neoplasia,Vaginal Neoplasms,Vulvar Lichen Sclerosus,Squamous Intraepithelial Lesions of the Cervix,D014846,D019048,D014625,D007724,D065310
Transient Patchy Type Disease,2,Chronic Traumatic Encephalopathy,Focal Dermal Hypoplasia,Trichothiodystrophy Syndromes,"Ischemic Attack, Transient","Amnesia, Transient Global",D000070627,D005489,D054463,D002546,D020236
Multiple Mitochondrial Dysfunctions Syndrome,2,Multiple Organ Failure,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,"Hamartoma Syndrome, Multiple",Mitochondrial Encephalomyopathies,Multiple System Atrophy,D009102,D054069,D006223,D017237,D019578
Diffuse Astrocytoma,2,Diffuse Intrinsic Pontine Glioma,Diffuse Axonal Injury,"Scleroderma, Diffuse","Hyperostosis, Diffuse Idiopathic Skeletal","Leishmaniasis, Diffuse Cutaneous",D000080443,D020833,D045743,D004057,D016774
Thyroid Tumor,2,Thyroid Nodule,"Thyroid Carcinoma, Anaplastic","Thyroid Cancer, Papillary",Adenomatoid Tumor,Parathyroid Neoplasms,D016606,D065646,D000077273,D018254,D010282
Peripheral Artery Disease,2,Coronary Artery Disease,Polyarteritis Nodosa,Peripheral Nerve Injuries,Bicuspid Aortic Valve Disease,"Stenosis, Pulmonary Artery",D003324,D010488,D059348,D000082882,D000071079
Cervical Squamous Cell Carcinoma;Endocervical Adenocarcinoma,2,"Carcinoma, Adenosquamous","Carcinoma, Endometrioid",Esophageal Squamous Cell Carcinoma,Uterine Cervical Neoplasms,Atypical Squamous Cells of the Cervix,D018196,D018269,D000077277,D002583,D065309
Prostate Tumor,2,Parathyroid Neoplasms,Pituitary Neoplasms,Anal Gland Neoplasms,Pelvic Neoplasms,"Prostatic Neoplasms, Castration-Resistant",D010282,D010911,D000694,D010386,D064129
Liver Dysplasia,2,Retinal Dysplasia,Dentin Dysplasia,Thanatophoric Dysplasia,Developmental Dysplasia of the Hip,Peliosis Hepatis,D015792,D003805,D013796,D000082602,D010382
Hellp Syndrome,1,HELLP Syndrome,Leriche Syndrome,LEOPARD Syndrome,Hypoplastic Left Heart Syndrome,Lesch-Nyhan Syndrome,D017359,D007925,D044542,D018636,D007926
Strep Infection,1,Respiratory Syncytial Virus Infections,Superinfection,Pseudomonas Infections,"Strongyle Infections, Equine",HTLV-I Infections,D018357,D015163,D011552,D013319,D015490
Rett Syndrome,1,Rett Syndrome,Nelson Syndrome,Turner Syndrome,Overtraining Syndrome,Tietze's Syndrome,D015518,D009347,D014424,D000095027,D013991
Amyloidosis,1,Immunoglobulin Light-chain Amyloidosis,"Amyloid Neuropathies, Familial",Asthenia,"Plaque, Amyloid","Cerebral Amyloid Angiopathy, Familial",D000075363,D028227,D001247,D058225,D028243
Group A Streptococcal Infections,1,"Pneumonia, Staphylococcal","Pneumonia, Pneumococcal",Respiratory Syncytial Virus Infections,Ureaplasma Infections,"Endocarditis, Subacute Bacterial",D011023,D011018,D018357,D016869,D004698
Leptospirosis,1,Lyme Neuroborreliosis,Leiomyomatosis,Erythema Infectiosum,Aortitis,Rhinosporidiosis,D020852,D018231,D016731,D001025,D012227
Cushing's Disease,1,Cushing Syndrome,Carcinoid Heart Disease,Addison Disease,Corticobasal Degeneration,Endocardial Cushion Defects,D003480,D002275,D000224,D000088282,D004694
Guillain-Barre Syndrome,1,Guillain-Barre Syndrome,Pierre Robin Syndrome,De Lange Syndrome,Lennox Gastaut Syndrome,Autoimmune Lymphoproliferative Syndrome,D020275,D010855,D003635,D065768,D056735
Hidradenitis,1,Hidradenitis Suppurativa,Duodenitis,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",Polyradiculopathy,Penile Induration,D017497,D004382,D020277,D011128,D010411
Hepatic Steatosis,1,Hepatic Encephalopathy,"Fatty Liver, Alcoholic",Hepatic Infarction,"Hepatitis, Alcoholic",Hepatomegaly,D006501,D005235,D000081011,D006519,D006529
Polycystic Liver Disease,1,"Polycystic Kidney, Autosomal Dominant","Polycystic Kidney, Autosomal Recessive",Polycystic Ovary Syndrome,Peliosis Hepatis,Hepatic Veno-Occlusive Disease,D016891,D017044,D011085,D010382,D006504
Alopecia Universalis,1,Alopecia Areata,Dermatitis Herpetiformis,"Dermatitis, Atopic","Dermatitis, Toxicodendron",Geographic Atrophy,D000506,D003874,D003876,D011040,D057092
Silver-Russell Syndrome,1,Silver-Russell Syndrome,Angelman Syndrome,Churg-Strauss Syndrome,Nelson Syndrome,Hallermann's Syndrome,D056730,D017204,D015267,D009347,D006210
Alopecia Totalis,1,Alopecia Areata,Geographic Atrophy,Azoospermia,Anorexia,"Dermatitis, Toxicodendron",D000506,D057092,D053713,D000855,D011040
Xeroderma Pigmentosum Variant,1,Xeroderma Pigmentosum,Chromoblastomycosis,Xerophthalmia,Urticaria Pigmentosa,Pigmentation Disorders,D014983,D002862,D014985,D014582,D010859
Brucellosis,1,"Brucellosis, Bovine","Trypanosomiasis, Bovine",Enzootic Bovine Leukosis,Typhlitis,Enterobiasis,D002007,D014354,D016583,D053706,D017229
Atypical Hemolytic Uremic Syndrome;Common Variable Immune Deficiency,1,Atypical Hemolytic Uremic Syndrome,Common Variable Immunodeficiency,"Anemia, Hemolytic, Autoimmune","Anemia, Hemolytic, Congenital Nonspherocytic","Hyper-IgM Immunodeficiency Syndrome, Type 1",D065766,D017074,D000744,D000746,D053307
Erythematotelangiectatic Rosacea,1,Erythema Chronicum Migrans,Erythema Infectiosum,Erythema Ab Igne,Kaposi Varicelliform Eruption,Erythema Nodosum,D015787,D016731,D000089965,D007617,D004893
Papulopustular Rosacea,1,Pityriasis Rubra Pilaris,Farber Lipogranulomatosis,Pityriasis Rosea,Mucormycosis,Lymphogranuloma Venereum,D010916,D055577,D017515,D009091,D008219
Hypermobile Ehlers-Danlos Syndrome,1,"Ehlers-Danlos Syndrome, Type IV",Dandy-Walker Syndrome,Shy-Drager Syndrome,Peutz-Jeghers Syndrome,Ellis-Van Creveld Syndrome,D000094623,D003616,D012791,D010580,D004613
Cerebral Aneurysm,1,Intracranial Aneurysm,Coronary Aneurysm,Iliac Aneurysm,"Aneurysm, Aortic Arch",Heart Aneurysm,D002532,D003323,D017543,D000094626,D006322
Glomerulosclerosis,1,"Glomerulosclerosis, Focal Segmental",Arteriosclerosis Obliterans,"Glomerulonephritis, Membranous",Nephrosclerosis,"Glomerulonephritis, Membranoproliferative",D005923,D001162,D015433,D009400,D015432
Hypermobility Spectrum Disorders,1,Fetal Alcohol Spectrum Disorders,"Ehlers-Danlos Syndrome, Type IV",Hyperamylasemia,Enthesopathy,REM Sleep Behavior Disorder,D063647,D000094623,D034321,D000070676,D020187
Vasculitis,1,Retinal Vasculitis,Rheumatoid Vasculitis,IgA Vasculitis,"Vasculitis, Leukocytoclastic, Cutaneous",Viremia,D031300,D056653,D011695,D018366,D014766
Rosacea,1,Behcet Syndrome,Rhinosporidiosis,Dandruff,Urinoma,Tinea cruris,D001528,D012227,D063807,D053584,D000084002
Still's Disease,1,"Still's Disease, Adult-Onset",Scheuermann Disease,"Granulomatous Disease, Chronic",Wolman Disease,Borna Disease,D016706,D012544,D006105,D015223,D001890
Uveitis,1,Urethritis,Scleritis,Vitreous Hemorrhage,"Arthritis, Gouty",Anophthalmos,D014526,D015423,D014823,D015210,D000853
Dissection of Aorta,1,"Dissection, Ascending Aorta","Dissection, Abdominal Aorta",Aortic Rupture,Vertebral Artery Dissection,"Aneurysm, Ascending Aorta",D000094630,D000094631,D001019,D020217,D000094625
Autosomal Recessive Congenital Ichthyosis,1,"Ichthyosis, X-Linked","Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive","Ichthyosis, Lamellar",Ichthyosis Vulgaris,Congenital Hypothyroidism,D016114,D053360,D017490,D016112,D003409
Patchy Type Disease,1,"Niemann-Pick Disease, Type A",Focal Dermal Hypoplasia,Glycogen Storage Disease Type V,"Cystic Adenomatoid Malformation of Lung, Congenital",Glycogen Storage Disease Type IIb,D052536,D005489,D006012,D015615,D052120
Staphylococcus Infection,1,"Pneumonia, Staphylococcal",Laboratory Infection,Acinetobacter Infections,Serratia Infections,Zika Virus Infection,D011023,D007757,D000151,D016868,D000071243
Early Inflammatory Arthritis,1,"Arthritis, Juvenile","Arthritis, Experimental","Arthritis, Reactive","Arthritis, Psoriatic","Arthritis, Gouty",D001171,D001169,D016918,D015535,D015210
Eosinophilia Myalgia Syndrome,1,Eosinophilia-Myalgia Syndrome,Myalgia,Lambert-Eaton Myasthenic Syndrome,Eosinophilic Esophagitis,MELAS Syndrome,D016603,D063806,D015624,D057765,D017241
Diabetes;Heart Failure,1,"Heart Failure, Diastolic",Diabetic Cardiomyopathies,Diabetic Foot,Cardio-Renal Syndrome,"Diabetes Mellitus, Type 1",D054144,D058065,D017719,D059347,D003922
Nodular Lymphocyte Predominant Hodgkin Lymphoma,1,Hodgkin Disease,Immunoblastic Lymphadenopathy,Composite Lymphoma,"Lymphoma, Extranodal NK-T-Cell","Lymphoma, B-Cell, Marginal Zone",D006689,D007119,D058617,D054391,D018442
Infective Endocarditis,1,"Endocarditis, Non-Infective","Endocarditis, Subacute Bacterial",Infectious Mononucleosis,Bicuspid Aortic Valve Disease,Mitral Valve Insufficiency,D059905,D004698,D007244,D000082882,D008944
Familial Hemophagocytic Lymphohistiocytosis,1,"Lymphohistiocytosis, Hemophagocytic",Familial Mediterranean Fever,Familial Exudative Vitreoretinopathies,Familial Hypophosphatemic Rickets,Hemochromatosis,D051359,D010505,D000080345,D053098,D006432
Acth-Independent Macronodular Adrenal Hyperplasia,1,Adrenocortical Adenoma,ACTH-Secreting Pituitary Adenoma,Pituitary ACTH Hypersecretion,"ACTH Syndrome, Ectopic",Adrenocortical Carcinoma,D018246,D049913,D047748,D000182,D018268
Hypoplastic Left Heart Syndrome,1,Hypoplastic Left Heart Syndrome,Lesch-Nyhan Syndrome,HELLP Syndrome,Posterior Leukoencephalopathy Syndrome,Hypoprothrombinemias,D018636,D007926,D017359,D054038,D007020
Ischemic Heart Disease,1,Ischemic Contracture,Coronary Artery Disease,"Colitis, Ischemic","Optic Neuropathy, Ischemic","Ischemic Attack, Transient",D054061,D003324,D017091,D018917,D002546
Bronchitis,1,"Bronchitis, Chronic",Bronchopneumonia,Bronchial Fistula,Bronchial Spasm,"Bronchiolitis, Viral",D029481,D001996,D001983,D001986,D001990
Recurrent Non-Muscle Invasive Tumor,1,Non-Muscle Invasive Bladder Neoplasms,"Neoplasm Recurrence, Local",Muscle Neoplasms,"Carcinoma, Intraductal, Noninfiltrating","Neoplasm, Residual",D000093284,D009364,D019042,D002285,D018365
Defective Complex I,1,Pyruvate Dehydrogenase Complex Deficiency Disease,Carbamoyl-Phosphate Synthase I Deficiency Disease,Cytochrome-c Oxidase Deficiency,"Micronuclei, Chromosome-Defective",Protein C Deficiency,D015325,D020165,D030401,D048629,D020151
Unspecified Septicemia,1,Fever of Unknown Origin,Hemorrhagic Septicemia,Sepsis-Associated Encephalopathy,"Hemorrhagic Septicemia, Viral","Abortion, Septic",D005335,D006483,D065166,D031941,D000031
Bipolar Depression,1,Mania,"Depression, Postpartum",Vascular Depression,Blepharospasm,Bronchopulmonary Dysplasia,D000087122,D019052,D000088323,D001764,D001997
Metachromatic Leukodystrophy,1,"Leukodystrophy, Metachromatic","Leukodystrophy, Globoid Cell",Leukostasis,Leukoaraiosis,Leukorrhea,D007966,D007965,D018921,D049292,D007973
Phelan-Mcdermid Syndrome,1,POEMS Syndrome,Peutz-Jeghers Syndrome,Laurence-Moon Syndrome,Patellofemoral Pain Syndrome,Cushing Syndrome,D016878,D010580,D007849,D046788,D003480
Systemic Sclerosis-Associated Interstitial Lung Disease,1,"Scleroderma, Diffuse",Sclerosis,Diffuse Cerebral Sclerosis of Schilder,"Sarcoidosis, Pulmonary",Scleredema Adultorum,D045743,D012598,D002549,D017565,D012592
Meniere Disease,1,Meniere Disease,Tangier Disease,Lemierre Syndrome,Darier Disease,Scheuermann Disease,D008575,D013631,D057831,D007644,D012544
Golabi-Ito-Hall Syndrome,1,Hallermann's Syndrome,Bartter Syndrome,Gitelman Syndrome,DiGeorge Syndrome,Pallister-Hall Syndrome,D006210,D001477,D053579,D004062,D054975
Malt Lymphoma,1,"Lymphoma, Mantle-Cell",Burkitt Lymphoma,"Lymphoma, B-Cell, Marginal Zone",Intraocular Lymphoma,"Lymphoma, Follicular",D020522,D002051,D018442,D064090,D008224
POR-deficient,1,Poroma,Porokeratosis,IgA Deficiency,Eccrine Porocarcinoma,Odontodysplasia,D057091,D017499,D017098,D057090,D018126
POR-Mutations,1,Poroma,Porokeratosis,Eccrine Porocarcinoma,Proteus Infections,Mucocele,D057091,D017499,D057090,D011512,D009078
Prurigo Nodularis,1,Prurigo,"Panniculitis, Nodular Nonsuppurative",Pruritus Ani,"Goiter, Nodular","Panniculitis, Lupus Erythematosus",D011536,D010201,D011538,D006044,D015435
Immune Reconstitution Inflammatory Syndrome,1,Immune Reconstitution Inflammatory Syndrome,Cytokine Release Syndrome,Acute Retroviral Syndrome,Acquired Immunodeficiency Syndrome,Severe Acute Respiratory Syndrome,D054019,D000080424,D000071297,D000163,D045169
Late-Onset Form of Familial Alzheimer Disease,1,"Amyloid Neuropathies, Familial","Cerebral Amyloid Angiopathy, Familial",Late Onset Disorders,Alzheimer Disease,Frontotemporal Dementia,D028227,D028243,D000067562,D000544,D057180
Ollier Enchondroma,1,Enchondromatosis,Encopresis,Onchocerciasis,"Esthesioneuroblastoma, Olfactory","Onchocerciasis, Ocular",D004687,D004688,D009855,D018304,D015827
Acute Hepatitis B,1,Hepatitis A,"Hepatitis B, Chronic",Acute Disease,Acute-On-Chronic Liver Failure,"Abdomen, Acute",D006506,D019694,D000208,D065290,D000006
Lupus,1,Lupus Nephritis,Lupus Vulgaris,"Lupus Vasculitis, Central Nervous System","Panniculitis, Lupus Erythematosus",Sclerosis,D008181,D008177,D020945,D015435,D012598
22Q11 Deletion Syndrome,1,Jacobsen Distal 11q Deletion Syndrome,Chromosome Deletion,Trisomy 13 Syndrome,Trisomy 18 Syndrome,Down Syndrome,D054868,D002872,D000073839,D000073842,D004314
Familial Amyloid Polyneuropathy,1,"Amyloid Neuropathies, Familial","Cerebral Amyloid Angiopathy, Familial","Plaque, Amyloid",Familial Primary Pulmonary Hypertension,Familial Mediterranean Fever,D028227,D028243,D058225,D065627,D010505
B-Cell Non-Hodgkin's Lymphoma,1,"Lymphoma, T-Cell, Peripheral","Lymphoma, Mantle-Cell","Lymphoma, Large-Cell, Immunoblastic","Lymphoma, Extranodal NK-T-Cell","Lymphoma, B-Cell, Marginal Zone",D016411,D020522,D016400,D054391,D018442
Rectal Carcinoma,1,Ileal Neoplasms,Rectal Prolapse,Jejunal Neoplasms,Adrenocortical Carcinoma,Nasopharyngeal Carcinoma,D007078,D012005,D007580,D018268,D000077274
Chronic Active Ebv Infection,1,Persistent Infection,"Hepatitis B, Chronic",Chronic Periodontitis,"Granulomatous Disease, Chronic",Chronic Traumatic Encephalopathy,D000088562,D019694,D055113,D006105,D000070627
X-Linked Dystonia Disorders-Parkinsonism,1,"Bulbo-Spinal Atrophy, X-Linked","Ichthyosis, X-Linked",X-Linked Combined Immunodeficiency Diseases,"Dyskinesia, Drug-Induced",Myoclonic Cerebellar Dyssynergia,D055534,D016114,D053632,D004409,D002527
B-Cell Non-Hodgkin Lymphoma,1,"Lymphoma, T-Cell, Peripheral","Lymphoma, Large-Cell, Immunoblastic","Lymphoma, Mantle-Cell","Lymphoma, Extranodal NK-T-Cell","Lymphoma, B-Cell, Marginal Zone",D016411,D016400,D020522,D054391,D018442
Rapid-Onset Obesity With Hypothalamic Dysfunction; Hypoventilation; And Autonomic Dysregulation,1,Obesity Hypoventilation Syndrome,Autonomic Dysreflexia,"Obesity, Abdominal",Hypoventilation,"Obesity, Morbid",D010845,D020211,D056128,D007040,D009767
Fragile X Syndrome,1,Fragile X Syndrome,Fraser Syndrome,Turner Syndrome,Factor X Deficiency,Frasier Syndrome,D005600,D058497,D014424,D005171,D052159
Meth-Dependency Without Psychosis,1,Morphine Dependence,Heroin Dependence,Methemoglobinemia,"Psychoses, Alcoholic","Psychoses, Substance-Induced",D009021,D006556,D008708,D011604,D011605
Bronchiolitis Obliterans,1,Bronchiolitis Obliterans Syndrome,Arteriosclerosis Obliterans,"Bronchiolitis, Viral",Thromboangiitis Obliterans,"Adenocarcinoma, Bronchiolo-Alveolar",D000092122,D001162,D001990,D013919,D002282
Tracheal Stenosis,1,Tracheal Stenosis,Esophageal Stenosis,Tricuspid Valve Stenosis,Spinal Stenosis,Carotid Stenosis,D014135,D004940,D014264,D013130,D016893
HIV-Associated Neurocognitive Disorder,1,HIV-Associated Lipodystrophy Syndrome,HIV Wasting Syndrome,AIDS-Associated Nephropathy,"AIDS Arteritis, Central Nervous System",AIDS-Related Opportunistic Infections,D039682,D019247,D016263,D020943,D017088
Type C Niemann-Pick Disease,1,"Niemann-Pick Disease, Type C","Niemann-Pick Disease, Type A","Niemann-Pick Disease, Type B",Pick Disease of the Brain,Glycogen Storage Disease Type III,D052556,D052536,D052537,D020774,D006010
Giant Cell Tumor,1,Giant Cell Tumor of Bone,"Carcinoma, Giant Cell",Granulosa Cell Tumor,Granular Cell Tumor,Giant Cell Arteritis,D018212,D018286,D006106,D016586,D013700
Systemic Capillary Leak Syndrome,1,Capillary Leak Syndrome,Hantavirus Pulmonary Syndrome,Central Cord Syndrome,Blind Loop Syndrome,Mucocutaneous Lymph Node Syndrome,D019559,D018804,D020210,D001765,D009080
Avascular Necrosis of Femoral Head,1,Femur Head Necrosis,Femoral Neuropathy,"Fractures, Avulsion",Osteoradionecrosis,Radial Head and Neck Fractures,D005271,D020428,D000071562,D010025,D000092467
Acute Respiratory Distress Syndrome,1,Severe Acute Respiratory Syndrome,Acute Chest Syndrome,Acute Radiation Syndrome,Acute Retroviral Syndrome,Fetal Distress,D045169,D056586,D054508,D000071297,D005316
Kidney Clear Cell Carcinoma,1,"Carcinoma, Renal Cell","Adenocarcinoma, Clear Cell","Sarcoma, Clear Cell","Carcinoma, Transitional Cell","Carcinoma, Papillary",D002292,D018262,D018227,D002295,D002291
Ataxia With Oculomotor Apraxia Type 2,1,"Apraxia, Ideomotor",Cerebellar Ataxia,Oculocerebrorenal Syndrome,Gait Ataxia,"Muscular Dystrophy, Oculopharyngeal",D020240,D002524,D009800,D020234,D039141
Oculomotor Apraxia,1,"Apraxia, Ideomotor",Oculomotor Nerve Injuries,"Muscular Dystrophy, Oculopharyngeal",Oculocerebrorenal Syndrome,Xerophthalmia,D020240,D061220,D039141,D009800,D014985
Ovarian Adenocarcinoma,1,"Carcinoma, Ovarian Epithelial","Adenocarcinoma, Bronchiolo-Alveolar","Carcinoma, Endometrioid",Pelvic Neoplasms,"Adenocarcinoma, Clear Cell",D000077216,D002282,D018269,D010386,D018262
Idiopathic Pulmonary Hypertension,1,Pulmonary Arterial Hypertension,Idiopathic Noncirrhotic Portal Hypertension,"Hypertension, Pulmonary",Familial Primary Pulmonary Hypertension,Idiopathic Hypersomnia,D000081029,D000094724,D006976,D065627,D020177
Lynch Syndrome,1,Syndrome,Proteus Syndrome,Werner Syndrome,Marfan Syndrome,Gardner Syndrome,D013577,D016715,D014898,D008382,D005736
Seminoma,1,Seminoma,Syringoma,Thymoma,Sertoli Cell Tumor,Seroma,D018239,D018252,D013945,D012707,D049291
Psoriatic Arthritis,1,"Arthritis, Psoriatic","Arthritis, Gouty","Arthritis, Juvenile",Rheumatoid Vasculitis,"Arthritis, Reactive",D015535,D015210,D001171,D056653,D016918
Follicular Thyroid Adenoma,1,Tubular Sweat Gland Adenomas,Thyroid Nodule,"Thyroid Carcinoma, Anaplastic","Lymphoma, Follicular",Follicular Cyst,D000074009,D016606,D065646,D008224,D005497
Thyroid Oncocytic Adenoma,1,"Thyroid Carcinoma, Anaplastic",Adrenocortical Adenoma,Tubular Sweat Gland Adenomas,Thyroid Nodule,Parathyroid Neoplasms,D065646,D018246,D000074009,D016606,D010282
Thyroid Oncocytic Carcinoma,1,"Thyroid Carcinoma, Anaplastic","Thyroid Cancer, Papillary",Adrenocortical Carcinoma,Laryngeal Neoplasms,"Carcinoma, Ovarian Epithelial",D065646,D000077273,D018268,D007822,D000077216
Olive Pollen Allergy,1,Dust Mite Allergy,Peanut Hypersensitivity,Anaphylaxis,Latex Hypersensitivity,Nut Hypersensitivity,D000092542,D021183,D000707,D020315,D021184
Non-Alcoholic Steatohepatitis;Hepatocellular Carcinoma,1,"Carcinoma, Hepatocellular",Non-alcoholic Fatty Liver Disease,"Liver Cirrhosis, Alcoholic","Hepatitis, Alcoholic","Fatty Liver, Alcoholic",D006528,D065626,D008104,D006519,D005235
Ewing Sarcoma,1,"Sarcoma, Ewing","Sarcoma, Synovial","Sarcoma, Endometrial Stromal","Sarcoma, Yoshida",Histiocytic Sarcoma,D012512,D013584,D018203,D012517,D054747
Papillary Serous Ovarian Adenocarcinomas,1,"Carcinoma, Papillary","Carcinoma, Ovarian Epithelial","Cystadenocarcinoma, Papillary","Thyroid Cancer, Papillary","Cystadenocarcinoma, Serous",D002291,D000077216,D018283,D000077273,D018284
Congenital Myotonic Dystrophy,1,Myotonic Dystrophy,"Muscular Dystrophy, Duchenne",Congenital Disorders of Glycosylation,Congenital Cranial Dysinnervation Disorders,Myotonia Congenita,D009223,D020388,D018981,D000093922,D009224
Follicular Thyroid Carcinoma,1,"Carcinoma, Papillary, Follicular","Thyroid Carcinoma, Anaplastic","Lymphoma, Follicular",Follicular Cyst,"Dendritic Cell Sarcoma, Follicular",D018265,D065646,D008224,D005497,D054740
Metastatic Neuroblastoma,1,Neoplasm Micrometastasis,Lymphatic Metastasis,"Neuroectodermal Tumor, Melanotic","Nephroma, Mesoblastic",Rhabdoid Tumor,D061206,D008207,D017600,D018201,D018335
Rhabdoid Tumor,1,Rhabdoid Tumor,Retroperitoneal Neoplasms,Orbital Neoplasms,Sertoli Cell Tumor,"Neuroectodermal Tumor, Melanotic",D018335,D012186,D009918,D012707,D017600
"Inclusion Body Myopathy, Autosomal Dominant",1,"Myositis, Inclusion Body","Optic Atrophy, Autosomal Dominant","Polycystic Kidney, Autosomal Dominant",Lewy Body Disease,"Myopathies, Nemaline",D018979,D029241,D016891,D020961,D017696
Necrotizing Enterocolitis,1,"Enterocolitis, Necrotizing","Enterocolitis, Neutropenic",Histiocytic Necrotizing Lymphadenitis,"Gingivitis, Necrotizing Ulcerative","Enterocolitis, Pseudomembranous",D020345,D044504,D020042,D005892,D004761
Intestinal Perforation,1,Intestinal Perforation,Retinal Perforations,Esophageal Perforation,Corneal Perforation,Peptic Ulcer Perforation,D007416,D012167,D004939,D057112,D010439
Chondrosarcoma,1,"Chondrosarcoma, Mesenchymal",Adenosarcoma,Chondroblastoma,Chondrocalcinosis,"Chondromatosis, Synovial",D018211,D018195,D002804,D002805,D015838
Paraganglioma,1,Pheochromocytoma,Paragonimiasis,Glomus Tumor,Ganglioglioma,Gastrinoma,D010673,D010237,D005918,D018303,D015408
Kidney Chromophobe,1,"Adenoma, Chromophobe",Chromoblastomycosis,"Carcinoma, Renal Cell",Medullary Sponge Kidney,"Nephroma, Mesoblastic",D000238,D002862,D002292,D007691,D018201
Rectum Adenocarcinoma,1,Colitis-Associated Neoplasms,Anal Gland Neoplasms,"Adenocarcinoma, Bronchiolo-Alveolar",Adenocarcinoma in Situ,Sigmoid Neoplasms,D000083023,D000694,D002282,D065311,D012811
Metastatic Invasive Skin Cutaneous Celanoma,1,"Lymphoma, Primary Cutaneous Anaplastic Large Cell","Hydatidiform Mole, Invasive","Candidiasis, Cutaneous","Leishmaniasis, Diffuse Cutaneous","Carcinoma, Mucoepidermoid",D054446,D002820,D002179,D016774,D018277
Stomach Adenocarcinoma,1,Stomach Neoplasms,Adenocarcinoma in Situ,Gallbladder Neoplasms,Sigmoid Neoplasms,Anal Gland Neoplasms,D013274,D065311,D005706,D012811,D000694
Metastatic Invasive Thyroid Carcinoma,1,"Thyroid Carcinoma, Anaplastic","Thyroid Cancer, Papillary","Hydatidiform Mole, Invasive","Carcinoma, Papillary","Carcinoma, Medullary",D065646,D000077273,D002820,D002291,D018276
Uterine Corpus Endometrioid Carcinoma,1,"Carcinoma, Endometrioid",Uterine Cervical Neoplasms,Endometrial Stromal Tumors,"Carcinoma, Ovarian Epithelial",Endometritis,D018269,D002583,D036821,D000077216,D004716
Leber Hereditary Optic Neuropathy,1,"Optic Atrophy, Hereditary, Leber",Hereditary Central Nervous System Demyelinating Diseases,Leber Congenital Amaurosis,"Angioedemas, Hereditary","Optic Atrophy, Autosomal Dominant",D029242,D020279,D057130,D054179,D029241
Noonan Syndrome,1,Noonan Syndrome,Laurence-Moon Syndrome,Sneddon Syndrome,Nelson Syndrome,Churg-Strauss Syndrome,D009634,D007849,D018860,D009347,D015267
Metastatic Invasive Breast Carcinoma,1,"Carcinoma, Ductal, Breast","Carcinoma, Lobular","Carcinoma, Pancreatic Ductal",Breast Carcinoma In Situ,Mammary Analogue Secretory Carcinoma,D018270,D018275,D021441,D000071960,D000069295
Pheochromocytoma,1,Pheochromocytoma,Parathyroid Neoplasms,"Histiocytoma, Benign Fibrous","Histiocytoma, Malignant Fibrous",Pinealoma,D010673,D010282,D018219,D051677,D010871
Abnormality of The Pulmonary Veins,1,"Stenosis, Pulmonary Vein",Pulmonary Veno-Occlusive Disease,Pulmonary Valve Insufficiency,Pulmonary Heart Disease,Pulmonary Infarction,D000071078,D011668,D011665,D011660,D054060
Endometrioma,1,Endometritis,Endometriosis,"Carcinoma, Endometrioid",Oligodendroglioma,"Leiomyoma, Epithelioid",D004716,D004715,D018269,D009837,D018230
Secondary Pulmonary Arterial Hypertension,1,Pulmonary Arterial Hypertension,Familial Primary Pulmonary Hypertension,"Hypertension, Pulmonary","Stenosis, Pulmonary Artery","Stenosis, Pulmonary Vein",D000081029,D065627,D006976,D000071079,D000071078
Respiratory Syncytial Virus (Rsv),1,Respiratory Syncytial Virus Infections,"Bronchiolitis, Viral","Pneumonia, Pneumococcal",Rotavirus Infections,"Alkalosis, Respiratory",D018357,D001990,D011018,D012400,D000472
Aneurysm,1,Heart Aneurysm,"Aneurysm, Aortic Arch","Aneurysm, Ascending Aorta",Intracranial Aneurysm,Coronary Aneurysm,D006322,D000094626,D000094625,D002532,D003323
