mesh_id,label,tree_numbers,tree_categories,n_articles,annotation,scope_note,chunk_number,sorted_tree_categories,first_tree_category
D000092223,Hippocampal Sclerosis,"['C10.500.507.400.187', 'C16.131.666.507.400.187']","['C10', 'C16']",19445,,"Neuronal loss in the hippocampal regions of CA1 and CA4 and less severely CA2 and CA3. Additional loss of hippocampal stratum radiatum, hippocampal atrophy andASTROGLIOSISare common. Hippocampal sclerosis is associated with intractableTEMPORAL LOBE EPILEPSY.",2,"['C10', 'C16']",C10
D008831,Microcephaly,"['C10.500.507.400.500', 'C16.131.666.507.400.500']","['C10', 'C16']",28049,,"A congenital abnormality in which theCEREBRUMis underdeveloped, the fontanels close prematurely, and, as a result, the head is small. (Desk Reference for Neuroscience, 2nd ed.)",2,"['C16', 'C10', 'C05']",C16
D054221,Classical Lissencephalies and Subcortical Band Heterotopias,"['C10.500.507.450.230', 'C10.500.507.450.499.230', 'C16.131.666.507.450.230', 'C16.131.666.507.450.499.230', 'C16.320.322.500.186']","['C10', 'C16']",14277,,"Disorders comprising a spectrum of brain malformations representing the paradigm of a diffuse neuronal migration disorder. They result in cognitive impairment;SEIZURES; andHYPOTONIAor spasticity. Mutations of two genes, LIS1, the gene for the non-catalytic subunit ofPLATELET-ACTIVATING FACTOR ACETYLHYDROLASE IB; and DCX or XLIS, the gene for doublecortin, have been identified as the most common causes of disorders in this spectrum. Additional variants of classical (Type I) lissencephaly have been linked to RELN, the gene for reelin, and ARX, the gene for aristaless related homeobox protein. (From Leventer, R.J., et al, Mol Med Today. 2000 Jul;6(7):277-84 and Barkovich, A.J., et al, Neurology. 2005 Dec 27;65(12):1873-87.)",2,"['C16', 'C10']",C16
D058494,Walker-Warburg Syndrome,"['C10.500.507.450.499.249.500', 'C11.270.881', 'C16.131.666.507.450.499.249.500', 'C16.320.577.750']","['C10', 'C11', 'C16']",5381,,"Rare autosomal recessive lissencephaly type 2 associated with congenitalMUSCULAR DYSTROPHYand eye anomalies (e.g.,RETINAL DETACHMENT;CATARACT;MICROPHTHALMOS). It is often associated with additional brain malformations such asHYDROCEPHALYand cerebellar hypoplasia and is the most severe form of the group of related syndromes (alpha-dystroglycanopathies) with common congenital abnormalities in the brain, eye and muscle development.",2,"['C16', 'C10', 'C11']",C16
D054091,Periventricular Nodular Heterotopia,"['C10.500.507.450.750', 'C16.131.666.507.450.750']","['C10', 'C16']",6288,,"A disorder resulting from a defect in the pattern of neuronal migration in which ectopic collections of neurons lie along the lateral ventricles of the brain or just beneath, contiguously or in isolated patches.",2,"['C16', 'C10']",C16
D065706,Polymicrogyria,"['C10.500.507.500.500', 'C16.131.666.507.500.500']","['C10', 'C16']",3156,,Heterogeneous disorders of cortical malformation characterized by excessive and small fused gyri and shallow sulci of the CORTEX with abnormal cortical lamination. It is considered a malformation secondary to abnormal post-migrational development of the neurons during cerebral cortical development and is associated withEPILEPSYand learning difficulties.,2,"['C10', 'C16']",C10
D000757,Anencephaly,"['C10.500.680.196', 'C16.131.085.197', 'C16.131.666.680.196']","['C10', 'C16']",6958,,"A malformation of the nervous system caused by failure of the anterior neuropore to close. Infants are born with intact spinal cords, cerebellums, and brainstems, but lack formation of neural structures above this level. The skull is only partially formed but the eyes are usually normal. This condition may be associated with folate deficiency. Affected infants are only capable of primitive (brain stem) reflexes and usually do not survive for more than two weeks. (From Menkes, Textbook of Child Neurology, 5th ed, p247)",2,"['C16', 'C10']",C16
D001139,Arnold-Chiari Malformation,"['C10.500.680.291', 'C16.131.666.680.291']","['C10', 'C16']",9051,do not confuse withCHIARI'S SYNDROMEseeBUDD-CHIARI SYNDROME,"A group of congenital malformations involving the brainstem, cerebellum, upper spinal cord, and surrounding bony structures. Type II is the most common, and features compression of the medulla and cerebellar tonsils into the upper cervical spinal canal and an associatedMENINGOMYELOCELE. Type I features similar, but less severe malformations and is without an associated meningomyelocele. Type III has the features of type II with an additional herniation of the entire cerebellum through the bony defect involving the foramen magnum, forming anENCEPHALOCELE. Type IV is a form a cerebellar hypoplasia. Clinical manifestations of types I-III includeTORTICOLLIS; opisthotonus;HEADACHE;VERTIGO;VOCAL CORD PARALYSIS;APNEA;NYSTAGMUS, CONGENITAL; swallowing difficulties; andATAXIA. (From Menkes, Textbook of Child Neurology, 5th ed, p261; Davis, Textbook of Neuropathology, 2nd ed, pp236-46)",2,"['C10', 'C16']",C10
D004677,Encephalocele,"['C10.500.680.488', 'C16.131.666.680.488', 'C23.300.707.186']","['C10', 'C16', 'C23']",25175,meningoencephalocele: coordinate IM withMENINGOCELE(IM),"Brain tissue herniation through a congenital or acquired defect in the skull. The majority of congenital encephaloceles occur in the occipital or frontal regions. Clinical features include a protuberant mass that may be pulsatile. The quantity and location of protruding neural tissue determines the type and degree of neurologic deficit. Visual defects, psychomotor developmental delay, and persistent motor deficits frequently occur.",2,"['C16', 'C10', 'C23']",C16
D008588,Meningocele,"['C10.500.680.598', 'C16.131.666.680.598', 'C23.300.707.968']","['C10', 'C16', 'C23']",5438,meningoencephalocele: coordinate IM withENCEPHALOCELE(IM),"A congenital or acquired protrusion of the meninges, unaccompanied by neural tissue, through a bony defect in the skull or vertebral column.",2,"['C10', 'C16', 'C23']",C10
D008591,Meningomyelocele,"['C10.500.680.610', 'C16.131.666.680.610']","['C10', 'C16']",8893,,"Congenital, or rarely acquired, herniation of meningeal and spinal cord tissue through a bony defect in the vertebral column. The majority of these defects occur in the lumbosacral region. Clinical features includePARAPLEGIA, loss of sensation in the lower body, and incontinence. This condition may be associated with theARNOLD-CHIARI MALFORMATIONandHYDROCEPHALUS. (From Joynt, Clinical Neurology, 1992, Ch55, pp35-6)",2,"['C10', 'C16']",C10
D058502,Pentalogy of Cantrell,"['C10.500.680.705', 'C16.131.077.696', 'C16.131.666.680.705']","['C10', 'C16']",2313,,"Rare congenital deformity syndrome characterized by a combination of five anomalies as a result of neural tube defect. The five anomalies are a midline supraumbilical abdominal wall defect (e.g.,OMPHALOCELE), a lowerSTERNUMdefect, a congenital intracardiac defect, an anteriorDIAPHRAGMdefect, and a diaphragmaticPERICARDIUMdefect (e.g.,PERICARDIAL EFFUSION). Variants with incomplete and variable combinations of the defects are known.ECTOPIA CORDIS;CLEFT LIP; andCLEFT PALATEare often associated with the syndrome.",2,"['C16', 'C10']",C16
D016137,Spina Bifida Cystica,"['C10.500.680.800.730', 'C16.131.666.680.800.730']","['C10', 'C16']",1345,,"A form of spinal dysraphism associated with a protruding cyst made up of either meninges (i.e., aMENINGOCELE) or meninges in combination with spinal cord tissue (i.e., aMENINGOMYELOCELE). These lesions are frequently associated with spinal cord dysfunction,HYDROCEPHALUS, andSYRINGOMYELIA. (From Davis et al., Textbook of Neuropathology, 2nd ed, pp224-5)",2,"['C10', 'C16']",C10
D016136,Spina Bifida Occulta,"['C10.500.680.800.750', 'C16.131.666.680.800.750']","['C10', 'C16']",9085,,"A common congenital midline defect of fusion of the vertebral arch without protrusion of the spinal cord or meninges. The lesion is also covered by skin. L5 and S1 are the most common vertebrae involved. The condition may be associated with an overlying area of hyperpigmented skin, a dermal sinus, or an abnormal patch of hair. The majority of individuals with this malformation are asymptomatic although there is an increased incidence of tethered cord syndrome and lumbarSPONDYLOSIS. (From Joynt, Clinical Neurology, 1992, Ch55, p34)",2,"['C10', 'C16']",C10
D006623,von Hippel-Lindau Disease,"['C10.562.925', 'C14.907.077.925', 'C16.131.077.245.750', 'C16.320.184.750']","['C10', 'C14', 'C16']",10956,,"An autosomal dominant disorder caused by mutations in a tumor suppressor gene. This syndrome is characterized by abnormal growth of small blood vessels leading to a host of neoplasms. They includeHEMANGIOBLASTOMAin theRETINA;CEREBELLUM; andSPINAL CORD;PHEOCHROMOCYTOMA; pancreatic tumors; and renal cell carcinoma (seeCARCINOMA, RENAL CELL). Common clinical signs includeHYPERTENSIONand neurological dysfunctions.",2,"['C16', 'C14', 'C10']",C16
D028227,"Amyloid Neuropathies, Familial","['C10.574.500.050', 'C10.668.829.050.050', 'C16.320.400.050', 'C16.320.565.176.050', 'C18.452.648.176.050', 'C18.452.845.500.050.050', 'C18.452.845.500.075.050']","['C10', 'C16', 'C18']",5176,,Inherited disorders of the peripheral nervous system associated with the deposition ofAMYLOIDin nerve tissue. The different clinical types based on symptoms correspond to the presence of a variety of mutations in several different proteins including transthyretin (PREALBUMIN);APOLIPOPROTEIN A-I; andGELSOLIN.,2,"['C10', 'C16', 'C18']",C10
D020279,Hereditary Central Nervous System Demyelinating Diseases,"['C10.574.500.490', 'C16.320.400.367']","['C10', 'C16']",4130,,Inherited conditions characterized by a loss ofMYELINin the central nervous system.,2,"['C10', 'C16', 'C18']",C10
D009472,Neuronal Ceroid-Lipofuscinoses,"['C10.574.500.550', 'C16.320.400.600', 'C16.320.565.398.641.509', 'C18.452.584.563.641.509', 'C18.452.648.398.641.509']","['C10', 'C16', 'C18']",6620,,"A group of severe neurodegenerative diseases characterized by intracellular accumulation of autofluorescent wax-like lipid materials (CEROID;LIPOFUSCIN) in neurons. There are several subtypes based on mutations of the various genes, time of disease onset, and severity of the neurological defects such as progressiveDEMENTIA;SEIZURES; and visual failure.",2,"['C10', 'C16', 'C18']",C10
D010244,"Bulbar Palsy, Progressive","['C10.574.562.300', 'C10.668.467.300']",['C10'],4783,,"A motor neuron disease marked by progressive weakness of the muscles innervated by cranial nerves of the lower brain stem. Clinical manifestations include dysarthria, dysphagia, facial weakness, tongue weakness, and fasciculations of the tongue and facial muscles. The adult form of the disease is marked initially by bulbar weakness which progresses to involve motor neurons throughout the neuroaxis. Eventually this condition may become indistinguishable fromAMYOTROPHIC LATERAL SCLEROSIS. Fazio-Londe syndrome is an inherited form of this illness which occurs in children and young adults. (Adams et al., Principles of Neurology, 6th ed, p1091; Brain 1992 Dec;115(Pt 6):1889-1900)",2,['C10'],C10
D019578,Multiple System Atrophy,['C10.574.928.625'],['C10'],17178,a specific neurodegenerative syndrome complex; not for atrophy in other systems,"A syndrome complex composed of three conditions which represent clinical variants of the same disease process:STRIATONIGRAL DEGENERATION;SHY-DRAGER SYNDROME; and the sporadic form ofOLIVOPONTOCEREBELLAR ATROPHIES. Clinical features include autonomic, cerebellar, and basal ganglia dysfunction. Pathologic examination reveals atrophy of the basal ganglia, cerebellum, pons, and medulla, with prominent loss of autonomic neurons in the brain stem and spinal cord. (From Adams et al., Principles of Neurology, 6th ed, p1076; Baillieres Clin Neurol 1997 Apr;6(1):187-204; Med Clin North Am 1999 Mar;83(2):381-92)",2,['C10'],C10
D000088282,Corticobasal Degeneration,['C10.574.945.312'],['C10'],7698,,"Rare progressive neurological disorder characterized by Parkinsonism, cortical atrophy of multiple areas of the brain including the cerebral cortex and the basal ganglia, cognitive dysfunction and eye movement abnormalities.",2,['C10'],C10
D057180,Frontotemporal Dementia,"['C10.574.950.300.299', 'C18.452.845.800.300.299']","['C10', 'C18']",34126,,"The most common clinical form ofFRONTOTEMPORAL LOBAR DEGENERATION, this dementia presents with personality and behavioral changes often associated with disinhibition, apathy, and lack of insight.",2,"['C10', 'C18']",C10
D001100,Arachnoiditis,['C10.586.625.097'],['C10'],5284,,"Acute or chronic inflammation of the arachnoid membrane of the meninges most often involving the spinal cord or base of the brain. This term generally refers to a persistent inflammatory process characterized by thickening of theARACHNOIDmembrane and dural adhesions. Associated conditions include prior surgery, infections, trauma,SUBARACHNOID HEMORRHAGE, and chemical irritation. Clinical features vary with the site of inflammation, but include cranial neuropathies, radiculopathies, and myelopathies. (From Joynt, Clinical Neurology, 1997, Ch48, p25)",2,['C10'],C10
D008582,"Meningitis, Aseptic",['C10.586.625.220'],['C10'],10460,coordinate IM with specific cause (IM) if pertinent,"A syndrome characterized by headache, neck stiffness, low grade fever, and CSF lymphocytic pleocytosis in the absence of an acute bacterial pathogen. Viral meningitis is the most frequent cause althoughMYCOPLASMA INFECTIONS;RICKETTSIA INFECTIONS; diagnostic or therapeutic procedures;NEOPLASTIC PROCESSES; septic perimeningeal foci; and other conditions may result in this syndrome. (From Adams et al., Principles of Neurology, 6th ed, p745)",2,['C10'],C10
D002558,Cerebrospinal Fluid Otorrhea,"['C10.597.114.500', 'C10.900.300.109.500', 'C23.888.592.114.249', 'C26.915.300.225.500']","['C10', 'C23', 'C26']",4388,,"Discharge of cerebrospinal fluid through the external auditory meatus or through the eustachian tube into the nasopharynx. This is usually associated withCRANIOCEREBRAL TRAUMA(e.g.,SKULL FRACTUREinvolving theTEMPORAL BONE;),NEUROSURGICAL PROCEDURES; or other conditions, but may rarely occur spontaneously. (From Am J Otol 1995 Nov;16(6):765-71)",2,"['C23', 'C10', 'C26']",C23
D002559,Cerebrospinal Fluid Rhinorrhea,"['C10.597.114.750', 'C10.900.300.109.750', 'C23.888.592.114.624', 'C23.888.852.834.500', 'C26.915.300.225.750']","['C10', 'C23', 'C26']",25921,,"Discharge of cerebrospinal fluid through the nose. Common etiologies include trauma, neoplasms, and prior surgery, although the condition may occur spontaneously. (Otolaryngol Head Neck Surg 1997 Apr;116(4):442-9)",2,"['C23', 'C10', 'C26']",C23
D000082643,Cerebral Cortical Thinning,"['C10.597.210', 'C23.300.220', 'C23.888.592.206']","['C10', 'C23']",2003,,Decrease in CEREBRAL CORTICAL THICKNESS.,2,"['C23', 'C10']",C23
D003655,Decerebrate State,"['C10.597.305', 'C23.888.592.298']","['C10', 'C23']",5020,"""brain-isolated"", ""encéphale isolé"", ""pithed"", ""spinal"" as in ""spinal cat"", ""cerveau isolé"" go here","A condition characterized by abnormal posturing of the limbs that is associated with injury to the brainstem. This may occur as a clinical manifestation or induced experimentally in animals. The extensor reflexes are exaggerated leading to rigid extension of the limbs accompanied by hyperreflexia and opisthotonus. This condition is usually caused by lesions which occur in the region of the brainstem that lies between the red nuclei and the vestibular nuclei. In contrast, decorticate rigidity is characterized by flexion of the elbows and wrists with extension of the legs and feet. The causative lesion for this condition is located above the red nuclei and usually consists of diffuse cerebral damage. (From Adams et al., Principles of Neurology, 6th ed, p358)",2,"['C10', 'C23']",C10
D020234,Gait Ataxia,"['C10.597.350.090.750', 'C10.597.404.450', 'C23.888.592.350.090.600', 'C23.888.592.413.450']","['C10', 'C23']",29430,,Impairment of the ability to coordinate the movements required for normal ambulation (WALKING) which may result from impairments of motor function or sensory feedback. This condition may be associated withBRAIN DISEASES(includingCEREBELLAR DISEASESandBASAL GANGLIA DISEASES);SPINAL CORD DISEASES; orPERIPHERAL NERVOUS SYSTEM DISEASES.,2,"['C10', 'C23']",C10
D001264,Athetosis,"['C10.597.350.110', 'C23.888.592.350.110']","['C10', 'C23']",2759,choreoathetosis =CHOREA(IM) +ATHETOSIS(IM),"A dyskinesia characterized by an inability to maintain the fingers, toes, tongue, or other body parts in a stable position, resulting in continuous slow, sinusoidal, and flowing involuntary movements. This condition is frequently accompanied byCHOREA, where it is referred to as choreoathetosis. Athetosis may occur as a manifestation ofBASAL GANGLIA DISEASESorDRUG TOXICITY. (From Adams et al., Principles of Neurology, 6th ed, p76)",2,"['C10', 'C23']",C10
D002375,Catalepsy,"['C10.597.350.200', 'C23.888.592.350.200']","['C10', 'C23']",5750,do not confuse withCATAPLEXY,"A condition characterized by inactivity, decreased responsiveness to stimuli, and a tendency to maintain an immobile posture. The limbs tend to remain in whatever position they are placed (waxy flexibility). Catalepsy may be associated withPSYCHOTIC DISORDERS(e.g.,SCHIZOPHRENIA, CATATONIC), nervous system drug toxicity, and other conditions.",2,"['C10', 'C23']",C10
D002819,Chorea,"['C10.597.350.250', 'C23.888.592.350.250']","['C10', 'C23']",17504,choreoathetosis =CHOREA(IM) +ATHETOSIS(IM);MORVAN'S CHOREAseeMYOKYMIAandCHOREATIC DISORDERSare also available,"Involuntary, forcible, rapid, jerky movements that may be subtle or become confluent, markedly altering normal patterns of movement. Hypotonia and pendular reflexes are often associated. Conditions which feature recurrent or persistent episodes of chorea as a primary manifestation of disease are referred to asCHOREATIC DISORDERS. Chorea is also a frequent manifestation ofBASAL GANGLIA DISEASES.",2,"['C10', 'C23']",C10
D006948,Hyperkinesis,"['C10.597.350.350', 'C23.888.592.350.350']","['C10', 'C23']",73059,human & animal;MOTOR ACTIVITYis also available: see note there; do not confuse withMYOKYMIAorISAACS SYNDROME,"Excessive movement of muscles of the body as a whole, which may be associated with organic or psychological disorders.",2,"['C10', 'C23']",C10
D018476,Hypokinesia,"['C10.597.350.400', 'C23.888.592.350.400']","['C10', 'C23']",30084,"in Russian lit ""hypokinesia"" =IMMOBILIZATION",Slow or diminished movement of body musculature. It may be associated withBASAL GANGLIA DISEASES;MENTAL DISORDERS; prolonged inactivity due to illness; and other conditions.,2,"['C10', 'C23']",C10
D011595,Psychomotor Agitation,"['C10.597.350.600', 'C10.597.606.881.700', 'C23.888.592.604.882.700']","['C10', 'C23']",61708,"do not confuse X refAKATHISIAwithAKATHISIA, DRUG-INDUCED: see note there",A feeling of restlessness associated with increased motor activity. This may occur as a manifestation of nervous system drug toxicity or other conditions.,2,"['C10', 'C23', 'F01']",C10
D046608,Synkinesis,"['C10.597.350.675', 'C23.888.592.350.675']","['C10', 'C23']",1514,,An involuntary movement accompanying a volitional movement. It often refers to facial movements that accompanyFACIAL PARALYSIS.,2,"['C10', 'C23']",C10
D020323,Tics,"['C10.597.350.700', 'C23.888.592.350.700']","['C10', 'C23']",12731,TIC DISORDERSis available,"Habitual, repeated, rapid contraction of certain muscles, resulting in stereotyped individualized actions that can be voluntarily suppressed for only brief periods. They often involve the face, vocal cords, neck, and less often the extremities. Examples include repetitive throat clearing, vocalizations, sniffing, pursing the lips, and excessive blinking. Tics tend to be aggravated by emotional stress. When frequent they may interfere with speech andINTERPERSONAL RELATIONS. Conditions which feature frequent and prominent tics as a primary manifestation of disease are referred to asTIC DISORDERS. (From Adams et al., Principles of Neurology, 6th ed, pp109-10)",2,"['C10', 'C23']",C10
D014202,Tremor,"['C10.597.350.850', 'C23.888.592.350.850']","['C10', 'C23']",101471,,"Cyclical movement of a body part that can represent either a physiologic process or a manifestation of disease. Intention or action tremor, a common manifestation ofCEREBELLAR DISEASES, is aggravated by movement. In contrast, resting tremor is maximal when there is no attempt at voluntary movement, and occurs as a relatively frequent manifestation ofPARKINSON DISEASE.",2,"['C10', 'C23']",C10
D008580,Meningism,"['C10.597.544', 'C23.888.592.544']","['C10', 'C23']",84908,,"A condition characterized by neck stiffness, headache, and other symptoms suggestive of meningeal irritation, but without actual inflammation of the meninges (MENINGITIS). Spinal fluid pressure may be elevated but spinal fluid is normal. (DeJong, The Neurologic Examination, 4th ed, p673)",2,"['C10', 'C23']",C10
D059445,Anhedonia,"['C10.597.606.057', 'C23.888.592.604.039']","['C10', 'C23']",142629,,"Inability to experience pleasure due to impairment or dysfunction of normal psychological and neurobiological mechanisms. It is a symptom of manyPSYCHOTIC DISORDERS(e.g.,DEPRESSIVE DISORDER, MAJOR; andSCHIZOPHRENIA).",2,"['C10', 'C23', 'F01']",C10
D002389,Catatonia,"['C10.597.606.115', 'C23.888.592.604.115']","['C10', 'C23']",6002,,"A neuropsychiatric disorder characterized by one or more of the following essential features: immobility, mutism, negativism (active or passive refusal to follow commands), mannerisms, stereotypies, posturing, grimacing, excitement, echolalia, echopraxia, muscular rigidity, and stupor; sometimes punctuated by sudden violent outbursts, panic, or hallucinations. This condition may be associated with psychiatric illnesses (e.g.,SCHIZOPHRENIA;MOOD DISORDERS) or organic disorders (NEUROLEPTIC MALIGNANT SYNDROME;ENCEPHALITIS, etc.). (FromDSM-IV, 4th ed, 1994; APA, Thesaurus of Psychological Index Terms, 1994)",2,"['C10', 'C23', 'F01']",C10
D000381,Agraphia,"['C10.597.606.150.500.050', 'C10.597.606.150.550.700.125', 'C23.888.592.604.150.500.050', 'C23.888.592.604.150.550.700.125']","['C10', 'C23']",4607,,"Loss or impairment of the ability to write (letters, syllables, words, or phrases) due to an injury to a specific cerebral area or occasionally due to emotional factors. This condition rarely occurs in isolation, and often accompaniesAPHASIA. (From Adams et al., Principles of Neurology, 6th ed, p485; APA, Thesaurus of Psychological Index Terms, 1994)",2,"['C10', 'C23']",C10
D000849,Anomia,"['C10.597.606.150.500.090', 'C23.888.592.604.150.500.090']","['C10', 'C23']",3861,"inability to name objects: do not confuse withANOMIE(""state of social disorganization & demoralization in society..."", often called ""anomia"")","A language dysfunction characterized by the inability to name people and objects that are correctly perceived. The individual is able to describe the object in question, but cannot provide the name. This condition is associated with lesions of the dominant hemisphere involving the language areas, in particular theTEMPORAL LOBE. (From Adams et al., Principles of Neurology, 6th ed, p484)",2,"['C10', 'C23']",C10
D020237,"Alexia, Pure","['C10.597.606.150.500.300.200.100', 'C23.888.592.604.150.500.300.200.100']","['C10', 'C23']",841,ALEXIAseeDYSLEXIAis also available,"Loss of the power to comprehend written materials despite preservation of the ability to write (i.e., alexia without agraphia). This condition is generally attributed to lesions that disconnect the visual cortex of the non-dominant hemisphere from language centers in the dominant hemisphere. This may occur when a dominant visual cortex injury is combined with underlying white matter lesions that involve crossing fibers from the occipital lobe of the opposite hemisphere. (From Adams et al., Principles of Neurology, 6th ed, p483)",2,"['C10', 'C23']",C10
D000080888,Specific Language Disorder,"['C10.597.606.150.500.550.500', 'C10.597.606.150.550.350', 'C23.888.592.604.150.500.550.500', 'C23.888.592.604.150.550.350']","['C10', 'C23']",9338,,Language disorder that delays the mastery of oral language skills or  in children who have no hearing loss or other developmental delays.,2,"['C10', 'C23']",C10
D001039,"Aphasia, Broca","['C10.597.606.150.500.800.100.100', 'C23.888.592.604.150.500.800.100.100']","['C10', 'C23']",25364,"do not confuse withAPHASIA, WERNICKE","An aphasia characterized by impairment of expressiveLANGUAGE(speech, writing, signs) and relative preservation of receptive language abilities (i.e., comprehension). This condition is caused by lesions of the motor association cortex in theFRONTAL LOBE(BROCA AREAand adjacent cortical and white matter regions).",2,"['C10', 'C23']",C10
D018886,"Aphasia, Conduction","['C10.597.606.150.500.800.100.111', 'C23.888.592.604.150.500.800.100.111']","['C10', 'C23']",7381,,"A type of fluent aphasia characterized by an impaired ability to repeat one and two word phrases, despite retained comprehension. This condition is associated with dominant hemisphere lesions involving the arcuate fasciculus (a white matter projection between Broca's and Wernicke's areas) and adjacent structures. Like patients with Wernicke aphasia (APHASIA, WERNICKE), patients with conduction aphasia are fluent but commit paraphasic errors during attempts at written and oral forms of communication. (From Adams et al., Principles of Neurology, 6th ed, p482; Brain & Bannister, Clinical Neurology, 7th ed, p142; Kandel et al., Principles of Neural Science, 3d ed, p848)",2,"['C10', 'C23']",C10
D001041,"Aphasia, Wernicke","['C10.597.606.150.500.800.100.166', 'C23.888.592.604.150.500.800.100.166']","['C10', 'C23']",11624,"do not confuse withAPHASIA, BROCAwhere subject understands language but cannot express it","Impairment in the comprehension of speech and meaning of words, both spoken and written, and of the meanings conveyed by their grammatical relationships in sentences. It is caused by lesions that primarily affect Wernicke's area, which lies in the posterior perisylvian region of the temporal lobe of the dominant hemisphere. (From Brain & Bannister, Clinical Neurology, 7th ed, p141; Kandel et al., Principles of Neural Science, 3d ed, p846)",2,"['C10', 'C23']",C10
D004401,Dysarthria,"['C10.597.606.150.500.800.150.200', 'C23.888.592.604.150.500.800.150.200']","['C10', 'C23']",31183,,"Disorders of speech articulation caused by imperfect coordination of pharynx, larynx, tongue, or face muscles. This may result fromCRANIAL NERVE DISEASES;NEUROMUSCULAR DISEASES;CEREBELLAR DISEASES;BASAL GANGLIA DISEASES;BRAIN STEMdiseases; or diseases of the corticobulbar tracts (seePYRAMIDAL TRACTS). The cortical language centers are intact in this condition. (From Adams et al., Principles of Neurology, 6th ed, p489)",2,"['C10', 'C23']",C10
D004454,Echolalia,"['C10.597.606.150.500.800.300', 'C23.888.592.604.150.500.800.300']","['C10', 'C23']",1967,,"Involuntary (parrot-like), meaningless repetition of a recently heard word, phrase, or song. This condition may be associated with transcorticalAPHASIA;SCHIZOPHRENIA; or other disorders. (From Adams et al., Principles of Neurology, 6th ed, p485)",2,"['C23', 'C10']",C23
D009155,Mutism,"['C10.597.606.150.500.800.500', 'C23.888.592.604.150.500.800.500']","['C10', 'C23']",10939,,"The inability to generate oral-verbal expression, despite normal comprehension of speech. This may be associated withBRAIN DISEASESorMENTAL DISORDERS. Organic mutism may be associated with damage to theFRONTAL LOBE;BRAIN STEM;THALAMUS; andCEREBELLUM. Selective mutism is a psychological condition that usually affects children characterized by continuous refusal to speak in social situations by a child who is able and willing to speak to selected persons. Kussmal aphasia refers to mutism in psychosis. (From Fortschr Neurol Psychiatr 1994; 62(9):337-44)",2,"['C10', 'C23']",C10
D013342,Stuttering,"['C10.597.606.150.500.800.750', 'C23.888.592.604.150.500.800.750']","['C10', 'C23']",6596,,"A disturbance in the normal fluency and time patterning of speech that is inappropriate for the individual's age. This disturbance is characterized by frequent repetitions or prolongations of sounds or syllables. Various other types of speech dysfluencies may also be involved including interjections, broken words, audible or silent blocking, circumlocutions, words produced with an excess of physical tension, and monosyllabic whole word repetitions. Stuttering may occur as a developmental condition in childhood or as an acquired disorder which may be associated withBRAIN INFARCTIONSand otherBRAIN DISEASES. (From DSM-IV, 1994)",2,"['C10', 'C23']",C10
D060705,Dyscalculia,"['C10.597.606.150.550.700.250', 'C23.888.592.604.150.550.700.250']","['C10', 'C23']",2372,,"Impaired ability in numerical concepts. These inabilities arise as a result of primary neurological lesion, are syndromic (e.g.,GERSTMANN SYNDROME) or acquired due to brain damage.",2,"['C10', 'C23']",C10
D004411,"Dyslexia, Acquired","['C10.597.606.150.550.700.500.500', 'C23.888.592.604.150.550.700.500.500']","['C10', 'C23']",7551,,"A receptive visual aphasia characterized by the loss of a previously possessed ability to comprehend the meaning or significance of handwritten words, despite intact vision. This condition may be associated with posterior cerebral artery infarction (INFARCTION, POSTERIOR CEREBRAL ARTERY) and otherBRAIN DISEASES.",2,"['C10', 'C23']",C10
D000071257,Emergence Delirium,"['C10.597.606.337.500.500', 'C23.550.767.181', 'C23.888.592.604.339.500.500']","['C10', 'C23']",6455,,A form ofDELIRIUMwhich occurs afterGENERAL ANESTHESIA.,2,"['C23', 'C10', 'F01']",C23
D020207,"Coma, Post-Head Injury","['C10.597.606.358.800.200.200', 'C10.900.300.175', 'C26.915.300.350']","['C10', 'C26']",3115,,"Prolonged unconsciousness from which the individual cannot be aroused, associated with traumatic injuries to theBRAIN. This may be defined as unconsciousness persisting for 6 hours or longer. Coma results from injury to both cerebral hemispheres or theRETICULAR FORMATIONof theBRAIN STEM. Contributing mechanisms includeDIFFUSE AXONAL INJURYandBRAIN EDEMA. (From J Neurotrauma 1997 Oct;14(10):699-713)",2,"['C10', 'C26']",C10
D007331,Insulin Coma,"['C10.597.606.358.800.200.600', 'C18.452.394.984.492']","['C10', 'C18']",833,,SevereHYPOGLYCEMIAinduced by a large dose of exogenousINSULINresulting in aCOMAor profound state of unconsciousness from which the individual cannot be aroused.,2,"['C18', 'C10']",C18
D053608,Stupor,"['C10.597.606.358.800.500', 'C23.888.592.604.359.800.500']","['C10', 'C23']",8836,,"A state of reduced sensibility and response to stimuli which is distinguished fromCOMAin that the person can be aroused by vigorous and repeated stimulation. The person is still conscious and can make voluntary movements. It can be induced byCENTRAL NERVOUS SYSTEM AGENTS. The word derives from Latin stupere and is related to stunned, stupid, dazed orLETHARGY.",2,"['C23', 'C10']",C23
D003410,Cri-du-Chat Syndrome,"['C10.597.606.360.180', 'C16.131.077.262', 'C16.131.260.190', 'C16.320.180.190']","['C10', 'C16']",6535,,"An infantile syndrome characterized by a cat-like cry, failure to thrive, microcephaly,MENTAL RETARDATION, spastic quadriparesis, micro- and retrognathia, glossoptosis, bilateral epicanthus, hypertelorism, and tiny external genitalia. It is caused by a deletion of the short arm of chromosome 5 (5p-).",2,"['C16', 'C10']",C16
